"Aarti Industries Limited","AARTIIND"
"Abb India Limited","ABB"
"Abbott India Limited","ABBOTINDIA"
"Acc Limited","ACC"
"Adani Enterprises Limited","ADANIENT"
"Adani Ports And Special Economic Zone Limited","ADANIPORTS"
"Aditya Birla Capital Ltd","ABCAPITAL"
"Aditya Birla Fashion And Retail Limited","ABFRL"
"Alkem Laboratories Limited","ALKEM"
"Ambuja Cements Limited","AMBUJACEM"
"Apollo Hospitals Enterprise Limited","APOLLOHOSP"
"Apollo Tyres Limited","APOLLOTYRE"
"Ashok Leyland Limited","ASHOKLEY"
"Asian Paints Limited","ASIANPAINT"
"Astral Poly Technik Limited","ASTRAL"
"Atul Limited","ATUL"
"Aurobindo Pharma Limited","AUROPHARMA"
"AU Small Finance Bank","AUBANK"
"Axis Bank Limited","AXISBANK"
"Bajaj Auto Limited","BAJAJ-AUTO"
"Bajaj Finance Limited","BAJFINANCE"
"Bajaj Finserv Limited","BAJAJFINSV"
"Balkrishna Industries Limited","BALKRISIND"
"Balrampur Chini Mills Limited","BALRAMCHIN"
"Bandhan Bank Ltd","BANDHANBNK"
"BANKNIFTY","BANKNIFTY"
"Bank Of Baroda","BANKBARODA"
"Bata India Limited","BATAINDIA"
"Berger Paints (i) Limited","BERGEPAINT"
"Bharat Electronics Limited","BEL"
"Bharat Forge Limited","BHARATFORG"
"Bharat Heavy Electricals Limited","BHEL"
"Bharat Petroleum Corporation Limited","BPCL"
"Bharti Airtel Limited","BHARTIARTL"
"Biocon Limited","BIOCON"
"Birlasoft Ltd","BSOFT"
"Bosch Limited","BOSCHLTD"
"Britannia Industries Limited","BRITANNIA"
"Canara Bank","CANBK"
"Can Fin Homes Limited","CANFINHOME"
"Chambal Fertilizers & Chemicals Limited","CHAMBLFERT"
"Cholamandalam Investment And Finance Company Limited","CHOLAFIN"
"Cipla Limited","CIPLA"
"City Union Bank Limited","CUB"
"Coal India Limited","COALINDIA"
"Coforge (Niit Tech)","COFORGE"
"Colgate Palmolive (india) Limited","COLPAL"
"Container Corporation Of India Limited","CONCOR"
"Coromandel International Limited","COROMANDEL"
"Crompton Greaves Consumer Electricals Limited","CROMPTON"
"Cummins India Limited","CUMMINSIND"
"Dabur India Limited","DABUR"
"Dalmia Bharat Limited","DALBHARAT"
"Deepak Nitrite Limited","DEEPAKNTR"
"Divi's Laboratories Limited","DIVISLAB"
"Dixon Technologies","DIXON"
"Dlf Limited","DLF"
"Dr. Lal Path Labs Ltd.","LALPATHLAB"
"Dr. Reddy's Laboratories Limited","DRREDDY"
"Eicher Motors Limited","EICHERMOT"
"Escorts Limited","ESCORTS"
"Exide Industries Limited","EXIDEIND"
"Gail (india) Limited","GAIL"
"Glenmark Pharmaceuticals Limited","GLENMARK"
"Gmr Infrastructure Limited","GMRINFRA"
"Godrej Consumer Products Limited","GODREJCP"
"Godrej Properties Limited","GODREJPROP"
"Granules India Limited","GRANULES"
"Grasim Industries Limited","GRASIM"
"Gujarat Gas Limited","GUJGASLTD"
"Gujarat Narmada Valley Fertilizers And Chemicals Limited","GNFC"
"Havells India Limited","HAVELLS"
"Hcl Technologies Limited","HCLTECH"
"HDFC Asset Management Company Ltd","HDFCAMC"
"Hdfc Bank Limited","HDFCBANK"
"HDFC Life Insurance Company Ltd","HDFCLIFE"
"Hero Motocorp Limited","HEROMOTOCO"
"Hindalco Industries Limited","HINDALCO"
"Hindustan Aeronautics Ltd","HAL"
"Hindustan Copper Limited","HINDCOPPER"
"Hindustan Petroleum Corporation Limited","HINDPETRO"
"Hindustan Unilever Limited","HINDUNILVR"
"Icici Bank Limited","ICICIBANK"
"ICICI Lombard General Insurance Company Ltd","ICICIGI"
"Icici Prudential Life Insurance Company Limited","ICICIPRULI"
"Idea Cellular Limited","IDEA"
"IDFC First Bank Ltd","IDFCFIRSTB"
"Idfc Limited","IDFC"
"Indiamart Intermesh Ltd","INDIAMART"
"Indian Energy Exchange Ltd","IEX"
"Indian Oil Corporation Limited","IOC"
"Indian Railway Catering & Tourism Corporation Ltd","IRCTC"
"Indraprastha Gas Limited","IGL"
"Indusind Bank Limited","INDUSINDBK"
"Indus Towers Ltd (Bharti Infratel)","INDUSTOWER"
"Info Edge (india) Limited","NAUKRI"
